genus,kingdom,phylum,subphylum,infraphylum,superclass,class,subclass,order,family,subfamily,tribe,fgroup1,fgroup2,fgroup3,calcifying
Halopithys,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,Amansieae,coarsely branched,,,
Halopitys,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,,Ceramiales,Rhodomelaceae,,,coarsely branched,,,
Haloplegma,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Wrangeliaceae,,Compsothamnieae,,,,
Halosaccion,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Nemaliophycidae,Palmariales,Palmariaceae,,,sheet,,,
Halurus,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Wrangeliaceae,,Griffithsieae,filamentous,,,
Halymenia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Halymeniales,Halymeniaceae,,,sheet,,,
Hemineura,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Delesseriaceae,Delesserioideae,Botryocarpeae,,,,
Heterosiphonia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Dasyaceae,Heterosiphonioideae,,filamentous,,,
Hildenbrandia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Hildenbrandiophycidae,Hildenbrandiales,Hildenbrandiaceae,,,crust,,,
Hydrolithon,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Corallinophycidae,Corallinales,Corallinaceae,Hydrolithoideae,,crust calcifier,,,yes
Hymenena,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Delesseriaceae,Phycodryoideae,Cryptopleureae,sheet,coarsely branched,,
Hymenocladia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Rhodymeniales,Hymenocladiaceae,,,sheet,,,
Hypnea,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Cystocloniaceae,,,filamentous,,,
