truetaxa,del13c,del13c_se,n,min,max,del13c_sd,del13c_var,genus,species,altname,altgenus,altspecies,division,author
Lomentaria clavellosa,-33.69,,1,-33.69,-33.69,,,Lomentaria,clavellosa,,,,Rhodophyta,
Lophocladia lallemandii,-27.8991596639,,1,-27.9,-27.9,,,Lophocladia,lallemandii,,,,Rhodophyta,
Martensia denticulata,-17.4,0,1,-17.4,-17.4,,,Martensia,denticulata,,,,Rhodophyta,Diaz-Pulido_etal_2016
Mastocarpus alaskensis,-14.1131,,1,-14.11,-14.11,,,Mastocarpus,alaskensis,,,,Rhodophyta,
Mastocarpus cristatus,-20.2,,1,-20.2,-20.2,,,Mastocarpus,cristatus,Gigartina cristata,Gigartina,cristata,Rhodophyta,
Mastocarpus jardiini,-16.9525,,1,-16.95,-16.95,,,Mastocarpus,jardiini,,,,Rhodophyta,
Mastocarpus stellatus,-19.13,0.4198830246,19,-22.7,-15.4,1.8302276725,3.3497333333,Mastocarpus,stellatus,Mastocarpus stellata,Mastocarpus,stellata,Rhodophyta,
Mastophoropsis canaliculata,-22.58,0.77,2,-23.35,-21.81,1.088944443,1.1858,Mastophoropsis,,,,,Rhodophyta,
Mazzaella affinis,-20.6925,,1,-20.69,-20.69,,,Mazzaella,affinis,,,,Rhodophyta,
Mazzaella flaccida,-17.76,1.25,2,-19.01,-16.51,1.767766953,3.125,Mazzaella,flaccida,Iridaea flaccida,Iridaea,flaccida,Rhodophyta,
Mazzaella parksii,-22.7175,,1,-22.72,-22.72,,,Mazzaella,parksii,,,,Rhodophyta,
Mazzaella splendens,-18.37,,1,-18.37,-18.37,,,Mazzaella,splendens,,,,Rhodophyta,
Membranoptera alata,-32.1747777778,0.8060056137,18,-34.43,-19.07,3.4195922109,11.6936108889,Membranoptera,alata,,,,Rhodophyta,
Metamastophora flabellata,-15.04,,1,-15.04,-15.04,,,Metamastophora,flabellata,Metamastophora flabelata,Metamastophora,flabelata,Rhodophyta,
Microcladia borealis,-20.2175,,1,-20.22,-20.22,,,Microcladia,borealis,,,,Rhodophyta,
Mychodea aciculare,-21.25,,1,-21.25,-21.25,,,Mychodea,aciculare,,,,Rhodophyta,
Myriogramme crispata,-31.06,,1,-31.06,-31.06,,,Myriogramme,crispata,Myriogrammae crispata,Myriogrammae,crispata,Rhodophyta,
Myriogramme gunniana,-35.45,,1,-35.45,-35.45,,,Myriogramme,gunniana,Myriogrammae gunniana,Myriogrammae,gunniana,Rhodophyta,
Myriogramme manginii,-33.1,,1,-33.1,-33.1,,,Myriogramme,manginii,,,,Rhodophyta,
Neogoniolithon brassica-florida,-12.4,,1,-12.4,-12.4,,,Neogoniolithon,brassica-florida,,,,Rhodophyta,
Neorhodomela larix,-20.582,0.3417513716,5,-21.39,-19.5,0.7641792983,0.58397,Neorhodomela,larix,,,,Rhodophyta,
Neuroglossum delesseriae,-32.51,0.62,2,-33.13,-31.89,0.8768124087,0.7688,Neuroglossum,delesseriae,Neuroglossum ligulatum,Neuroglossum,ligulatum,Rhodophyta,
Nitophyllum pulchellum,-33.59,,1,-33.59,-33.59,,,Nitophyllum,pulchellum,,,,Rhodophyta,
Nitophyllum punctatum,-31.57,0.5120872322,3,-32.16,-30.55,0.886961104,0.7867,Nitophyllum,punctatum,,,,Rhodophyta,
Odonthalia dentata,-25.5811111111,1.4615711147,9,-31.03,-16.9,4.3847133442,19.2257111111,Odonthalia,dentata,,,,Rhodophyta,
Opuntiella californica,-33.3275,0.4312264486,4,-34.54,-32.5,0.8624528973,0.743825,Opuntiella,californica,,,,Rhodophyta,
Osmundaria prolifera,-25.98,,1,-25.98,-25.98,,,Osmundaria,prolifera,,,,Rhodophyta,
Osmundea pinnatifida,-15.6133333333,1.0678130677,12,-20.26,-9.72,3.6990129724,13.6826969697,Osmundea,pinnatifida,Laurencia pinnatifida,Laurencia,pinnatifida,Rhodophyta,
Osmundea spectabilis,-16.3075,,1,-16.31,-16.31,,,Osmundea,spectabilis,,,,Rhodophyta,
Pachymenia lusoria,-13.86,0.22,2,-14.08,-13.64,0.3111269837,0.0968,Pachymenia,lusoria,,,,Rhodophyta,
Palisada perforata,-13.4,0.2,1,-13.4,-13.4,,,Palisada,perforata,Chondrophycus papillosus,Chondrophycus,papillosus,Rhodophyta,Diaz-Pulido_etal_2016
Palmaria decipiens,-17.5557142857,2.7681004809,7,-31.39,-9.69,7.3237054764,53.6366619048,Palmaria,decipiens,,,,Rhodophyta,
Palmaria palmata,-18.5181481481,0.7409345829,27,-33.94,-14.41,3.850009028,14.8225695157,Palmaria,palmata,,,,Rhodophyta,
Parviphycus pannosus,-14.7,0.3,1,-14.7,-14.7,,,Parviphycus,pannosus,Gelidiella pannosa,Gelidiella,pannosa,Rhodophyta,Diaz-Pulido_etal_2016
Peyssonnelia inamoena,-13.5025,1.3193140579,4,-15.93,-9.77,2.6386281158,6.9623583333,Peyssonnelia,inamoena,,,,Rhodophyta,
Phacelocarpus peperocarpos,-33.2066666667,0.4723816724,3,-33.98,-32.35,0.8181890572,0.6694333333,Phacelocarpus,peperocarpos,Phacelocarpous peperocarpos,Phacelocarpous,peperocarpos,Rhodophyta,
Phycodrys antarctica,-32.565,1.135,2,-33.7,-31.43,1.6051323933,2.57645,Phycodrys,antarctica,,,,Rhodophyta,
Phycodrys rubens,-33.9352631579,0.3869443713,19,-37,-30.89,1.6866514111,2.8447929825,Phycodrys,rubens,,,,Rhodophyta,
Phyllophora antarctica,-35.975,0.775,2,-36.75,-35.2,1.0960155108,1.20125,Phyllophora,antarctica,,,,Rhodophyta,
Phyllophora crispa,-31.745,3.015,2,-34.76,-28.73,4.2638538906,18.18045,Phyllophora,crispa,,,,Rhodophyta,
Phymatolithon masonianum,-14.03,,1,-14.03,-14.03,,,Phymatolithon,masonianum,,,,Rhodophyta,
Plocamium angustum,-32.27,0.4327335593,9,-34.16,-30.49,1.2982006779,1.685325,Plocamium,angustum,,,,Rhodophyta,
Plocamium cartilagineum,-32.9418518519,0.3283239128,27,-38.1,-29.14,1.7060210952,2.9105079772,Plocamium,cartilagineum,,,,Rhodophyta,
Plocamium costata,-33.39,,1,-33.39,-33.39,,,Plocamium,costata,,,,Rhodophyta,
Plocamium dilatatum,-33.4975,0.5365223667,4,-34.75,-32.27,1.0730447335,1.151425,Plocamium,dilatatum,,,,Rhodophyta,
Plocamium mertensii,-34.15,0.3995414038,3,-34.72,-33.38,0.6920260111,0.4789,Plocamium,mertensii,,,,Rhodophyta,
Plocamium microcladioides,-30.95,,1,-30.95,-30.95,,,Plocamium,microcladioides,,,,Rhodophyta,
Plocamium preissianum,-34.145,0.405,2,-34.55,-33.74,0.5727564928,0.32805,Plocamium,preissianum,,,,Rhodophyta,
Plocamium telfairiae,-33.7,,1,-33.7,-33.7,,,Plocamium,telfairiae,,,,Rhodophyta,
Plocamium violacum,-30.96,,1,-30.96,-30.96,,,Plocamium,violacum,,,,Rhodophyta,
Plumaria plumosa,-31.2033333333,0.4217555901,3,-31.98,-30.53,0.7305021104,0.5336333333,Plumaria,plumosa,Plumaria elegans,Plumaria,elegans,Rhodophyta,
Pollexfenia lobata,-20.69,,1,-20.69,-20.69,,,Pollexfenia,lobata,,,,Rhodophyta,
Polycoelia laciniata,-28.33,,1,-28.33,-28.33,,,Polycoelia,laciniata,,,,Rhodophyta,
Polyides rotunda,-16.0075,0.5615807303,4,-17.62,-15.01,1.1231614606,1.2614916667,Polyides,rotunda,Polyides rotundus,Polyides,rotundus,Rhodophyta,
Polyopes constrictus,-23.92,,1,-23.92,-23.92,,,Polyopes,constrictus,,,,Rhodophyta,
Polysiphonia brodiaei,-17.77,,1,-17.77,-17.77,,,Polysiphonia,brodiaei,,,,Rhodophyta,
Polysiphonia elongata,-20,1.6,2,-21.6,-18.4,2.2627416998,5.12,Polysiphonia,elongata,,,,Rhodophyta,
Polysiphonia fibrillosa,-24.61,,1,-24.61,-24.61,,,Polysiphonia,fibrillosa,,,,Rhodophyta,
Polysiphonia fucoides,-14.47,,1,-14.47,-14.47,,,Polysiphonia,fucoides,,,,Rhodophyta,
Polysiphonia lanosa,-20.695,0.4333342491,8,-22.8,-19.3,1.2256543442,1.5022285714,Polysiphonia,lanosa,,,,Rhodophyta,
Polysiphonia nigra,-17.49,,1,-17.49,-17.49,,,Polysiphonia,nigra,,,,Rhodophyta,
Polysiphonia stricta,-28.52,0.8352444752,3,-29.39,-26.85,1.4466858678,2.0929,Polysiphonia,stricta,,,,Rhodophyta,
Porphyra endiviifolium,-24.13,3.27,2,-27.4,-20.86,4.624478349,21.3858,Porphyra,endiviifolium,,,,Rhodophyta,
Porphyra leucosticta,-18.75,,1,-18.75,-18.75,,,Porphyra,leucosticta,,,,Rhodophyta,
Porphyra perforata,-15.955,2.065,2,-18.02,-13.89,2.9203510063,8.52845,Porphyra,perforata,,,,Rhodophyta,
Porphyra purpurea,-20.27,,1,-20.27,-20.27,,,Porphyra,purpurea,,,,Rhodophyta,
Porphyra umbilicalis,-20.1988888889,0.432507047,9,-22.19,-18.39,1.2975211409,1.6835611111,Porphyra,umbilicalis,,,,Rhodophyta,
Portieria hornemannii,-15.5,0.4,1,-15.5,-15.5,,,Portieria,hornemannii,,,,Rhodophyta,Diaz-Pulido_etal_2016
Pterocladiella capillacea,-16.3242857143,0.776248172,7,-20.21,-14.5,2.0537596187,4.2179285714,Pterocladiella,capillacea,Pterocladia capillacea,Pterocladia,capillacea,Rhodophyta,
Ptilonia australasica,-33.69,,1,-33.69,-33.69,,,Ptilonia,australasica,,,,Rhodophyta,
Ptilonia subulifera,-36.22,,1,-36.22,-36.22,,,Ptilonia,subulifera,,,,Rhodophyta,
Ptilophora mediterranea,-34.2,,1,-34.2,-34.2,,,Ptilophora,mediterranea,Ptilophora mediterranean,Ptilophora,mediterranean,Rhodophyta,
Ptilota gunneri,-32.5066666667,0.7462573283,9,-34.63,-27.02,2.2387719848,5.0121,Ptilota,gunneri,,,,Rhodophyta,
Ptilota plumosa,-33.66,,1,-33.66,-33.66,,,Ptilota,plumosa,,,,Rhodophyta,
Ptilota serrata,-34,,1,-34,-34,,,Ptilota,serrata,,,,Rhodophyta,
Rhodomela confervoides,-23.06,0.79,2,-23.85,-22.27,1.1172287143,1.2482,Rhodomela,confervoides,,,,Rhodophyta,
Rhodomela lycopodoides,-23.15,,1,-23.15,-23.15,,,Rhodomela,lycopodoides,,,,Rhodophyta,
Rhodophyllis membranacea,-31.75,0.45,2,-32.2,-31.3,0.6363961031,0.405,Rhodophyllis,membranacea,Rhodophyllis gunnii,Rhodophyllis,gunnii,Rhodophyta,
Rhodophyllis multipartita,-33.71,0.37,2,-34.08,-33.34,0.5232590181,0.2738,Rhodophyllis,multipartita,,,,Rhodophyta,
Rhodothamniella floridula,-16.39,,1,-16.39,-16.39,,,Rhodothamniella,floridula,Rhodochorton floridulum,Rhodochorton,floridulum,Rhodophyta,
Rhodymenia california,-29.8,,1,-29.8,-29.8,,,Rhodymenia,california,,,,Rhodophyta,
Rhodymenia pseudopalmata,-36.6,0.8,2,-37.4,-35.8,1.1313708499,1.28,Rhodymenia,pseudopalmata,,,,Rhodophyta,
Rytiphlaea tinctoria,-13.47,,1,-13.47,-13.47,,,Rytiphlaea,tinctoria,,,,Rhodophyta,
Schizoseris hymenena,-34.16,,1,-34.16,-34.16,,,Schizoseris,hymenena,,,,Rhodophyta,
Schizymenia dubyi,-24.1,,1,-24.1,-24.1,,,Schizymenia,dubyi,,,,Rhodophyta,
Schizymenia pacifica,-18.46,,1,-18.46,-18.46,,,Schizymenia,pacifica,,,,Rhodophyta,
Schottera nicaeensis,-32.7,,1,-32.7,-32.7,,,Schottera,nicaeensis,,,,Rhodophyta,
Scinaia tsinglanensis,-23.64,,1,-23.64,-23.64,,,Scinaia,tsinglanensis,,,,Rhodophyta,
Solieria robusta,-17.39,,1,-17.39,-17.39,,,Solieria,robusta,,,,Rhodophyta,
Sonderopelta coriacea,-18.316,0.5425274187,5,-20.44,-17.54,1.2131281878,1.47168,Sonderopelta,coriacea,,,,Rhodophyta,
Sphaerococcus coronopifolius,-33.3366666667,0.253135888,3,-33.74,-32.87,0.4384442192,0.1922333333,Sphaerococcus,coronopifolius,,,,Rhodophyta,
Spongoclonium pastorale,-31.3,1.1,2,-32.4,-30.2,1.5556349186,2.42,Spongoclonium,pastorale,,,,Rhodophyta,
Stenogramma interruptum,-33.8433333333,1.0537604619,3,-35.01,-31.74,1.8251666591,3.3312333333,Stenogramma,interruptum,Stenogramme interruptum,Stenogramme,interruptum,Rhodophyta,
Symphyocladia latiuscula,-18.8,,1,-18.8,-18.8,,,Symphyocladia,latiuscula,,,,Rhodophyta,
Thamnoclonium dichotomum,-30.125,0.2679396698,6,-31.1,-29.41,0.6563154729,0.43075,Thamnoclonium,dichotomum,,,,Rhodophyta,
Trematocarpus antarcticus,-20.7,,1,-20.7,-20.7,,,Trematocarpus,antarcticus,,,,Rhodophyta,
Tricleocarpa cylindrica,-16.5,,1,-16.5,-16.5,,,Tricleocarpa,cylindrica,,,,Rhodophyta,
Tylotus obtusatus,-33.71,,1,-33.71,-33.71,,,Tylotus,obtusatus,,,,Rhodophyta,
Vertebrata lanosa,-21.28,1.2870120435,5,-25.7,-19.1,2.877846417,8.282,Vertebrata,lanosa,,,,Rhodophyta,
Weeksia coccinea,-20.269,,1,-20.27,-20.27,,,Weeksia,coccinea,,,,Rhodophyta,
Wrightiella blodgetti,-32.24,,1,-32.24,-32.24,,,Wrightiella,blodgetti,,,,Rhodophyta,
Yamadaella caenomyce,-18.2,,1,-18.2,-18.2,,,Yamadaella,caenomyce,,,,Rhodophyta,
Yuzurua poiteaui,-11.8,,1,-11.8,-11.8,,,Yuzurua,poiteaui,Palisada poiteaui,Palisada,poiteaui,Rhodophyta,
